year/reg_name/reg_pop
2016/LA REUNION/852924
2016/MAYOTTE/240987
2015/AUVERGNE RHONE ALPES/7877698
2015/BOURGOGNE FRANCHE COMTE/2820940
2015/BRETAGNE/3293850
2015/CENTRE VAL DE LOIRE/2578592
2015/CORSE/327283
2015/GRAND EST/5559051
2015/HAUTS DE FRANCE/6009976
2015/ILE DE FRANCE/12082144
2015/NORMANDIE/3339131
2015/NOUVELLE AQUITAINE/5911482
2015/OCCITANIE/5774185
2015/PAYS DE LA LOIRE/3718512
2015/PROVENCE ALPES COTE D AZUR/5007977
2015/GUADELOUPE/397990
2015/MARTINIQUE/380877
2015/GUYANE/259865
2015/LA REUNION/850727
2015/MAYOTTE/232189
2014/AUVERGNE RHONE ALPES/7820966
2014/BOURGOGNE FRANCHE COMTE/2820623
2014/BRETAGNE/3276543
2014/CENTRE VAL DE LOIRE/2577435
2014/CORSE/324212
2014/GRAND EST/5554645
2014/HAUTS DE FRANCE/6006156
2014/ILE DE FRANCE/12027565
2014/NORMANDIE/3335645
2014/NOUVELLE AQUITAINE/5879144
2014/OCCITANIE/5730753
2014/PAYS DE LA LOIRE/3690833
2014/PROVENCE ALPES COTE D AZUR/4983438
2014/GUADELOUPE/400186
2014/MARTINIQUE/383911
2014/GUYANE/252338
2014/LA REUNION/842767
2014/MAYOTTE/223713
2013/AUVERGNE RHONE ALPES/7757595
2013/BOURGOGNE FRANCHE COMTE/2819783
2013/BRETAGNE/3258707
2013/CENTRE VAL DE LOIRE/2570548
2013/CORSE/320208
2013/GRAND EST/5552388
2013/HAUTS DE FRANCE/5987883
2013/ILE DE FRANCE/11959807
2013/NORMANDIE/3328364
2013/NOUVELLE AQUITAINE/5844177
2013/OCCITANIE/5683878
2013/PAYS DE LA LOIRE/3660852
2013/PROVENCE ALPES COTE D AZUR/4953675
2013/GUADELOUPE/402119
2013/MARTINIQUE/385551
2013/GUYANE/244118
2013/LA REUNION/835103
2013/MAYOTTE/0
2012/AUVERGNE RHONE ALPES/7695264
2012/BOURGOGNE FRANCHE COMTE/2816814
2012/BRETAGNE/3237097
2012/CENTRE VAL DE LOIRE/2563586
2012/CORSE/316257
2012/GRAND EST/5548955
2012/HAUTS DE FRANCE/5973098
2012/ILE DE FRANCE/11898502
2012/NORMANDIE/3322756
2012/NOUVELLE AQUITAINE/5808594
2012/OCCITANIE/5626858
2012/PAYS DE LA LOIRE/3632614
2012/PROVENCE ALPES COTE D AZUR/4935576
2012/GUADELOUPE/403314
2012/MARTINIQUE/388364
2012/GUYANE/239648
2012/LA REUNION/833944
2012/MAYOTTE/0
2011/AUVERGNE RHONE ALPES/7634223
2011/BOURGOGNE FRANCHE COMTE/2816174
2011/BRETAGNE/3217767
2011/CENTRE VAL DE LOIRE/2556835
2011/CORSE/314486
2011/GRAND EST/5539035
2011/HAUTS DE FRANCE/5960170
2011/ILE DE FRANCE/11852851
2011/NORMANDIE/3315077
2011/NOUVELLE AQUITAINE/5773078
2011/OCCITANIE/5573466
2011/PAYS DE LA LOIRE/3601113
2011/PROVENCE ALPES COTE D AZUR/4916069
2011/GUADELOUPE/404635
2011/MARTINIQUE/392291
2011/GUYANE/237549
2011/LA REUNION/828581
2011/MAYOTTE/0
2010/AUVERGNE RHONE ALPES/7578078
2010/BOURGOGNE FRANCHE COMTE/2813878
2010/BRETAGNE/3199066
2010/CENTRE VAL DE LOIRE/2548065
2010/CORSE/309693
2010/GRAND EST/5532530
2010/HAUTS DE FRANCE/5953001
2010/ILE DE FRANCE/11786234
2010/NORMANDIE/3310448
2010/NOUVELLE AQUITAINE/5745486
2010/OCCITANIE/5518106
2010/PAYS DE LA LOIRE/3571495
2010/PROVENCE ALPES COTE D AZUR/4899155
2010/GUADELOUPE/403355
2010/MARTINIQUE/394173
2010/GUYANE/229040
2010/LA REUNION/821136
2010/MAYOTTE/0
