DEP/REG/ANNEE/SUPER_PLOMBE/SUPER_SANS_PLOMB/SUPER_SANS_PLOMB_95/SUPER_SANS_PLOMB_95_E10/SUPER_SANS_PLOMB_98/GAZOLE/FOD/FOL/GNR/GPL/CARBUREACTEUR/Unnamed: 14/SUPER_ETH_E85/Unnamed: 15
48/76/2010.0/0.0/11248,74/9340,47515/5,93332/1902,231142/55131.0/36582.0/2329.0/0.0/////
65/76/2010.0/0.0/27966,08/22770,16225/140,452/5055,710139/114966.0/26793.0/302.0/0.0/////
66/76/2010.0/0.0/59505,62/48756,92614/872,61318/9875,961509/222887.0/47634.0/2605.0/0.0/////
81/76/2010.0/0.0/44839,56/37680,0956/963,2691/6196,357336/208954.0/54753.0/8058.0/0.0/////
82/76/2010.0/0.0/27704,86/21630,74226/1326,06013/4747,89696/162440.0/34541.0/328.0/0.0/////
99/76/2010.0/0.0/737890,3/582397,5631/39247,87782/116245,7955/3148794.0/773510.0/44527.0/0.0/243505.0////
1/84/2010.0/0.0/78514,74/59623,03271/4820,81806/14071,07324/356181.0/93254.0/27843.0/0.0/////
3/84/2010.0/0.0/48504,78/31801,02966/6947,54624/9756,063157/220894.0/95833.0/4473.0/0.0/////
7/84/2010.0/0.0/36970,4/29528,58829/555,2987091/6886,460161/128079.0/29752.0/9774.0/0.0/////
15/84/2010.0/0.0/16106,1/13161,82915/58,016/2885,956034/79339.0/43990.0/17531.0/0.0/////
26/84/2010.0/0.0/83002,84/59858,25778/8833,535414/14311,15333/474667.0/111830.0/4259.0/0.0/////
38/84/2010.0/0.0/156954,7/116785,787/14147,98677/26021,30473/621314.0/117446.0/28188.0/0.0/////
42/84/2010.0/0.0/84706,32/63384,52227/5672,24134/15649,50788/380968.0/456117.0/27531.0/0.0/////
43/84/2010.0/0.0/24761,88/19455,59481/1254,46132/4051,881579/126536.0/61717.0/5805.0/0.0/////
63/84/2010.0/0.0/89010,16/66759,30915/3987,94806/18263,17078/360600.0/117508.0/15116.0/0.0/////
69/84/2010.0/0.0/208395,8/151413,8252/24395,5948/32586,42053/917969.0/573635.0/23697.0/0.0/////
73/84/2010.0/0.0/63404,68/49089,64865/2928,3946/11386,95875/307520.0/96919.0/31795.0/0.0/////
74/84/2010.0/0.0/98881,76/76660,13767/4126,1512/18095,47764/407109.0/132737.0/4116.0/0.0/////
99/84/2010.0/0.0/989214,2/737521,5623/77727,99251/173965,4278/4381176.0/1930738.0/200128.0/0.0/300339.0////
4/93/2010.0/0.0/25510,76/20432,51972/332,01136/4745,873764/94128.0/30097.0/532.0/0.0/////
5/93/2010.0/0.0/21263,9/17339,12047/241,462/3683,634393/87199.0/37386.0/958.0/0.0/////
6/93/2010.0/0.0/207185,9/143045,9748/23276,5742/40863,22391/418333.0/84388.0/5621.0/0.0/////
13/93/2010.0/0.0/277841,9/219452,0774/16079,57618/42310,26299/1078255.0/294708.0/265022.0/0.0/////
83/93/2010.0/0.0/190590,7/147095,8789/9851,6829/33642,9351/542047.0/127270.0/2837.0/0.0/////
84/93/2010.0/0.0/89368,32/73745,33476/2232,57334/13390,75808/370565.0/101915.0/8448.0/0.0/////
99/93/2010.0/0.0/811761,5/621110,906/52013,87998/138636,6882/2590527.0/675764.0/283418.0/0.0/154188.0////
2A/94/2010.0/0.0/29150,82/29150,78078/0/0/73745.0/22532.0/0.0/0.0/////
2B/94/2010.0/0.0/35337,96/35338,034/0/0/86733.0/43834.0/287.0/0.0/////
99/94/2010.0/0.0/64488,78/64488,81478/0/0/160478.0/66366.0/287.0/0.0/34569.0////
99/99/2010.0//////////22742.0////
FR/FR/2010.0/0.0/7972113/5293093,907/1077611,178/1601409,514/32964767.0/12828193.0/1458509.0/0.0/2389676.0/6127744,8///
75/11/2011.0/0.0/107727/21520,39658/52088,31584/34118,02264/192520.0/41789.0/21223.0/0.0/////
77/11/2011.0/0.0/178348,1/92651,30958/48342,03072/37354,87321/720198.0/124227.0/17655.0/0.0/////
78/11/2011.0/0.0/203688,7/75613,82382/78728,99084/49345,77815/549276.0/88297.0/1116.0/0.0/////
91/11/2011.0/0.0/173554,4/72149,48126/63371,52171/38034,03541/571482.0/85525.0/202.0/0.0/////
92/11/2011.0/0.0/127701,8/16218,47824/72672,9945/38809,95575/276903.0/143611.0/3415.0/0.0/////
93/11/2011.0/0.0/117164,2/31610,30274/55192,05436/30361,82927/381225.0/54331.0/1782.0/0.0/////
94/11/2011.0/0.0/127193,4/35298,48136/59851,10802/32043,27592/379873.0/124662.0/8824.0/0.0/////
95/11/2011.0/0.0/135933,6/45391,88224/56753,24929/33788,68863/458170.0/70279.0/2105.0/0.0/////
99/11/2011.0/0.0/1171311/390454,1558/487000,2653/293856,459/3529647.0/732721.0/56322.0/0.0/87941.0////
18/24/2011.0/0.0/40412,14/24055,18/8074,14/8282,82/213453.0/71660.0/201.0/0.0/////
28/24/2011.0/0.0/60327,02/29809,42/16994,1/13523,5/307401.0/80719.0/3215.0/0.0/////
36/24/2011.0/0.0/27884,68/17608,90726/4484,481972/5790,879124/150452.0/57068.0/762.0/0.0/////
37/24/2011.0/0.0/79634,36/50503,44674/13803,79942/15326,60472/350842.0/102984.0/3060.0/0.0/////
41/24/2011.0/0.0/45342,76/27471,76/8959,18/8911,82/203803.0/61370.0/1189.0/0.0/////
45/24/2011.0/0.0/89425,3/46924,14/24328,98/18172,18/412589.0/367147.0/26190.0/0.0/////
99/24/2011.0/0.0/343026,3/196372,854/76644,68139/70007,80384/1638540.0/740948.0/34617.0/0.0/113873.0////
21/27/2011.0/0.0/76003,18/50085,42/11819,28/14098,48/364263.0/105215.0/5276.0/0.0/////
25/27/2011.0/0.0/60998,2/47217,18/4812,96/8968,06/329604.0/143219.0/6630.0/0.0/////
39/27/2011.0/0.0/33671,48/24788,71092/2852,886668/6030,559002/185232.0/62794.0/2132.0/0.0/////
58/27/2011.0/0.0/30291,9/21646,48/2290,3/6355,12/116512.0/67709.0/1161.0/0.0/////
70/27/2011.0/0.0/24875,1/20230,52478/760,128/3884,28442/147986.0/57211.0/4501.0/0.0/////
71/27/2011.0/0.0/82472,26/55135,92/12261,06/15075,28/412089.0/97739.0/26343.0/0.0/////
89/27/2011.0/0.0/53752,86/31449,26/10100,26/12203,34/253067.0/64997.0/1274.0/0.0/////
90/27/2011.0/0.0/14014,12/10219,4/1931,4/1863,32/55930.0/17233.0/784.0/0.0/////
99/27/2011.0/0.0/376079,1/260772,8957/46828,27467/68478,44342/1864683.0/616117.0/48101.0/0.0/119790.0////
14/28/2011.0/0.0/94971,6/67737,38/8977,68/18256,54/463640.0/178422.0/6067.0/0.0/////
27/28/2011.0/0.0/71879,16/48376,76/8615,82/14886,58/348321.0/77566.0/11224.0/0.0/////
50/28/2011.0/0.0/61135,1/46559,32/4440,74/10135,04/319080.0/125659.0/19875.0/0.0/////
61/28/2011.0/0.0/30251,94/21853,68/2789,06/5609,2/174932.0/83918.0/5167.0/0.0/////
76/28/2011.0/0.0/143987,7/88464,04/24095,14/31428,54/706431.0/187762.0/29357.0/0.0/////
99/28/2011.0/0.0/402225,5/272991,18/48918,44/80315,9/2012404.0/653327.0/71690.0/0.0/138929.0////
2/32/2011.0/0.0/54984,22/34072,56/8074,88/12836,78/314369.0/105203.0/13548.0/0.0/////
59/32/2011.0/0.0/214030,2/105312,36/52152,98/56564,86/997134.0/553671.0/94282.0/0.0/////
60/32/2011.0/0.0/88572,08/50032,14/19820,16/18719,78/418980.0/102547.0/15476.0/0.0/////
62/32/2011.0/0.0/136107,5/69992,16/27945,36/38169,94/900370.0/175230.0/25833.0/0.0/////
80/32/2011.0/0.0/62224,38/36905,28/10268,98/15050,12/348458.0/107389.0/38188.0/0.0/////
99/32/2011.0/0.0/555918,3/296314,5/118262,36/141341,48/2979311.0/1044040.0/187327.0/0.0/154600.0////
8/44/2011.0/0.0/23792,48/15648,04/2922,26/5222,18/125760.0/44335.0/2622.0/0.0/////
10/44/2011.0/0.0/36486,44/19554,5/8644,68/8287,26/205949.0/58468.0/152.0/0.0/////
51/44/2011.0/0.0/64454,74/35913,53262/15514,72245/13026,46759/429948.0/185216.0/70836.0/0.0/////
52/44/2011.0/0.0/26704,38/18960,94555/2924,791283/4819,090782/166039.0/44586.0/4923.0/0.0/////
54/44/2011.0/0.0/65710,52/43109,44/10582/12019,08/357934.0/483460.0/2433.0/0.0/////
55/44/2011.0/0.0/17461,04/13019,56/849,52/3591,96/99060.0/41340.0/6661.0/0.0/////
57/44/2011.0/0.0/98531,74/68851,82/11374,54/18305,38/450589.0/182128.0/10572.0/0.0/////
67/44/2011.0/0.0/143500,1/100135,32/14558,02/28806,72/606440.0/237604.0/3921.0/0.0/////
68/44/2011.0/0.0/95733,8/71360,42/8052,68/16320,7/417577.0/135497.0/11724.0/0.0/////
88/44/2011.0/0.0/44351,9/32282,5/3845,78/8223,62/237080.0/61591.0/11460.0/0.0/////
99/44/2011.0/0.0/616727,1/418836,0782/79268,99373/118622,4584/3096376.0/1474225.0/125304.0/0.0/150919.0////
44/52/2011.0/0.0/168503,9/117205,64/24658,28/26640/719444.0/463403.0/17897.0/0.0/////
49/52/2011.0/0.0/83424,64/60116,12/8027,52/15281/428112.0/77659.0/16330.0/0.0/////
53/52/2011.0/0.0/30021,06/21585,06/2534,5/5901,5/208004.0/53482.0/14678.0/0.0/////
72/52/2011.0/0.0/74131,72/45084,5/13200,12/15847,1/367116.0/66950.0/2947.0/0.0/////
85/52/2011.0/0.0/97188,64/74451,4/7508,04/15229,2/548512.0/174667.0/4082.0/0.0/////
99/52/2011.0/0.0/453270/318442,72/55928,46/78898,8/2271188.0/836161.0/55934.0/0.0/173872.0////
22/53/2011.0/0.0/69508,94/53937,12/3922,74/11649,08/361485.0/90888.0/11422.0/0.0/////
29/53/2011.0/0.0/105601/78567,28/8778,62/18255,06/482758.0/174774.0/10063.0/0.0/////
35/53/2011.0/0.0/118576,1/71807,38/22908,18/23860,56/628203.0/389939.0/12204.0/0.0/////
56/53/2011.0/0.0/89612,52/69372,04/5717,98/14522,5/435782.0/94697.0/13994.0/0.0/////
99/53/2011.0/0.0/383298,5/273683,82/41327,52/68287,2/1908228.0/750298.0/47683.0/0.0/174044.0////
16/75/2011.0/0.0/51744,5/39424,83496/3062,072901/9257,42737/297867.0/68537.0/24120.0/0.0/////
17/75/2011.0/0.0/91160,6/56961,611/14227,27312/19972,05396/420162.0/92887.0/9778.0/0.0/////
19/75/2011.0/0.0/33772,12/25604/2370,22/5797,9/171512.0/51520.0/3250.0/0.0/////
23/75/2011.0/0.0/13883,14/10359,26/870,24/2653,64/72688.0/40422.0/733.0/0.0/////
24/75/2011.0/0.0/46209,3/36920,08/2205,94/7083,28/220098.0/79569.0/322.0/0.0/////
33/75/2011.0/0.0/194630,4/117262,62/42517,44/34850,3/828896.0/164625.0/17737.0/0.0/////
40/75/2011.0/0.0/53312,56/41316,42/4257,22/7738,92/260041.0/67603.0/19133.0/0.0/////
47/75/2011.0/0.0/39036,48/29205,58/2464,94/7365,96/233266.0/457317.0/1046.0/0.0/////
64/75/2011.0/0.0/70448/50334,06/9375,8/10738,14/285601.0/66813.0/2012.0/0.0/////
79/75/2011.0/0.0/44186,88/32169,28/4562,1/7455,5/292718.0/98164.0/21857.0/0.0/////
86/75/2011.0/0.0/53578,22/41104,04/3011,06/9463,12/278786.0/108160.0/4266.0/0.0/////
87/75/2011.0/0.0/48827,42/37229,4/3681,5/7916,52/204260.0/64560.0/1341.0/0.0/////
99/75/2011.0/0.0/740789,6/517891,186/92605,80603/130292,7613/3565895.0/1360177.0/105595.0/0.0/310168.0////
9/76/2011.0/0.0/16065,4/13367,36/392,94/2305,1/73358.0/13613.0/1926.0/0.0/////
11/76/2011.0/0.0/45319,82/37512,08/1568,8/6238,94/258647.0/43801.0/5685.0/0.0/////
12/76/2011.0/0.0/27595,34/21322,36/2379,1/3893,88/153535.0/59839.0/1980.0/0.0/////
30/76/2011.0/0.0/90273,34/69924,82/7701,18/12647,34/361811.0/80538.0/2169.0/0.0/////
31/76/2011.0/0.0/150202,2/105089,6276/25400,62183/19712,05413/664186.0/83298.0/1774.0/0.0/////
32/76/2011.0/0.0/19795/16652,51378/452,58326/2689,7076/110379.0/45207.0/687.0/0.0/////
34/76/2011.0/0.0/157099,8/106492,66/26479,42/24127,7/668337.0/201412.0/4801.0/0.0/////
46/76/2011.0/0.0/23999,68/17916,48262/2350,764689/3732,925688/107401.0/27187.0/7547.0/0.0/////
48/76/2011.0/0.0/9780,58/6845,74/1250,6/1684,24/53824.0/34328.0/2229.0/0.0/////
65/76/2011.0/0.0/26986,32/21039,15534/1584,784/4361,93074/118510.0/26892.0/631.0/0.0/////
66/76/2011.0/0.0/55985,44/46953/1061,16/7971,28/227193.0/66042.0/1539.0/0.0/////
81/76/2011.0/0.0/40792,5/33359,90226/2530,67716/4901,79478/197607.0/53522.0/7617.0/0.0/////
82/76/2011.0/0.0/25749,78/19876,50878/1976,89742/3897,03314/164467.0/35313.0/473.0/0.0/////
99/76/2011.0/0.0/689645,2/516352,2103/75129,52836/98163,92608/3159255.0/770992.0/39058.0/0.0/209978.0////
1/84/2011.0/0.0/77660,04/56091,26/9130,12/12438,66/370424.0/101277.0/29219.0/0.0/////
3/84/2011.0/0.0/45124,46/30437,68/7010,02/7676,76/222259.0/79967.0/3601.0/0.0/////
7/84/2011.0/0.0/35881,12/27834,36/2120,84/5925,92/132814.0/31194.0/9328.0/0.0/////
15/84/2011.0/0.0/15744,98/13061/565,36/2118,62/77551.0/39979.0/11227.0/0.0/////
26/84/2011.0/0.0/78019,68/48008,98/16701,8/13308,9/448159.0/108369.0/4430.0/0.0/////
38/84/2011.0/0.0/147971,1/99149,36028/25269,48023/23551,82198/630058.0/127126.0/17055.0/0.0/////
42/84/2011.0/0.0/81359,3/56314,50542/10989,02417/14055,25121/392492.0/368351.0/24503.0/0.0/////
43/84/2011.0/0.0/23669,64/17942,04/2324,34/3403,26/128860.0/60093.0/5933.0/0.0/////
63/84/2011.0/0.0/84769,96/54735,58/13534,6/16499,78/367276.0/119721.0/20578.0/0.0/////
69/84/2011.0/0.0/196408,6/110811,5963/54051,15291/31546,4227/920946.0/519047.0/19223.0/0.0/////
73/84/2011.0/0.0/60950,1/46945,25845/4360,94015/9643,822721/325327.0/91280.0/30041.0/0.0/////
74/84/2011.0/0.0/103298,1/81105,61098/5783,874232/16408,94412/419580.0/119238.0/4028.0/0.0/////
99/84/2011.0/0.0/950857,1/642437,2315/151841,5517/156578,1627/4435746.0/1765642.0/179166.0/0.0/265719.0////
4/93/2011.0/0.0/24643,48/20012,56/552,78/4078,14/96575.0/30927.0/594.0/0.0/////
5/93/2011.0/0.0/20253,06/16277,23758/786,1131/3189,795974/88859.0/38289.0/1659.0/0.0/////
6/93/2011.0/0.0/198166,1/133766,1237/27034,24174/37365,40801/436204.0/132782.0/2334.0/0.0/////
13/93/2011.0/0.0/261630,7/195730,1523/29710,4525/36190,61517/1054443.0/284376.0/251195.0/0.0/////
83/93/2011.0/0.0/182898,4/138421,3987/14918,41938/29558,44255/554863.0/101533.0/2564.0/0.0/////
84/93/2011.0/0.0/84690,78/68393,76/4798,9/11498,12/376420.0/85501.0/7100.0/0.0/////
99/93/2011.0/0.0/772282,5/572601,2322/77800,90671/121880,5217/2607364.0/673408.0/265446.0/0.0/137567.0////
2A/94/2011.0/0.0/25253,98/25253,98/0/0/62094.0/13097.0/0.0/0.0/////
2B/94/2011.0/0.0/34469,2/34462,54/6,66/0/93815.0/50153.0/0.0/0.0/////
99/94/2011.0/0.0/59723,18/59716,52/6,66/0/155909.0/63250.0/0.0/0.0/33519.0////
99/99/2011.0//////////12900.0////
FR/FR/2011.0/0.0/7515154/4736866,584/1351563,448/1426723,916/33224546.0/11481306.0/1216243.0/0.0/2083819.0/6431271,2///
75/11/2012.0/0.0/98027,06/14162,86/51676,42/32187,78/172171.0/6163.0/28322.0/75485.0/////
77/11/2012.0/0.0/170012/78515,48/56496,04/35000,52/729111.0/87707.0/14513.0/31385.0/////
78/11/2012.0/0.0/191061,3/67208,28/79428,64/44424,42/595009.0/70939.0/730.0/13211.0/////
91/11/2012.0/0.0/166301,7/65339,04/66580,76/34381,88/570225.0/62046.0/216.0/17371.0/////
92/11/2012.0/0.0/120880,5/12694,7/71181,34/37004,44/276675.0/125605.0/27400.0/25582.0/////
93/11/2012.0/0.0/108930,2/28222,12/54407,76/26300,34/376189.0/27654.0/1457.0/12161.0/////
94/11/2012.0/0.0/120866,4/30120,96/61106,24/29639,22/415429.0/108713.0/6229.0/26843.0/////
95/11/2012.0/0.0/126945,5/40975,28/55670,2/30300,04/458782.0/58833.0/1964.0/29876.0/////
99/11/2012.0/0.0/1103025/337238,72/496547,4/269238,64/3593591.0/547660.0/80831.0/231914.0/87582.0////
18/24/2012.0/0.0/38167,72/22356,88/8791,94/7018,9/193861.0/45957.0/104.0/22308.0/////
28/24/2012.0/0.0/57976,78/27174,28/18818,94/11983,56/301216.0/52413.0/2989.0/26491.0/////
36/24/2012.0/0.0/27166,88/16980,78/5180/5006,1/144162.0/29304.0/75.0/19828.0/////
37/24/2012.0/0.0/75204,72/45971,76/15440,84/13792,12/340821.0/64095.0/2589.0/41771.0/////
41/24/2012.0/0.0/43484,62/25237,7/10314,12/7932,8/201698.0/39164.0/1262.0/19676.0/////
45/24/2012.0/0.0/84492,46/35732,38/30708,52/18051,56/431880.0/270637.0/20684.0/146778.0/////
99/24/2012.0/0.0/326493,2/173453,78/89254,36/63785,04/1613638.0/501570.0/27703.0/276852.0/119657.0////
21/27/2012.0/0.0/70954,9/38790,06/19428,7/12736,14/360580.0/70323.0/4020.0/39280.0/////
25/27/2012.0/0.0/59794,96/43635,58/7925,4/8233,98/321160.0/116275.0/7620.0/33087.0/////
39/27/2012.0/0.0/32052,36/23002,9/3870,2/5179,26/185924.0/47290.0/1983.0/13492.0/////
58/27/2012.0/0.0/28219,9/19565,6/3311,5/5342,8/112240.0/37234.0/1110.0/23012.0/////
