OPERATEUR;ANNEE;FILIERE;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;THERMOR;PARTR;CONSONA;PDLNA;INDQUALNA
Réseau GDS;2017;G;IRIS;674823003;0,00;0;0,000000;0,00;0;0,000000;8513,33;7;1,000000;8984,32;720;0,000000;0,00;0,00;0,00;0;0,000000
GrDF;2017;G;IRIS;671100000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;1179,00;71;0,000000;0,00;0,00;0,00;0;0,000000
GRT Gaz;2017;G;IRIS;674822206;0,00;0;0,000000;23346,05;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674850000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;2699,84;133;0,000000;0,00;0,00;0,00;0;0,000000
GrDF;2017;G;IRIS;674860000;1021,00;1;1,000000;0,00;0;0,000000;542,00;1;1,000000;5945,00;358;0,000000;0,00;0,00;0,00;0;0,000000
GrDF;2017;G;IRIS;674870000;0,00;0;0,000000;1723,00;1;1,000000;0,00;0;0,000000;2203,00;107;0,000000;0,00;0,00;0,00;0;0,000000
GrDF;2017;G;IRIS;674880000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;681,00;23;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674920000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;584,16;27;0,000000;0,00;0,00;0,00;0;0,000000
GrDF;2017;G;IRIS;674930000;0,00;0;0,000000;986,00;1;1,000000;0,00;0;0,000000;2020,00;99;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;674950000;0,00;0;0,000000;0,00;0;0,000000;2332,97;6;1,000000;7424,93;258;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;675000000;0,00;0;0,000000;0,00;0;0,000000;350,12;1;1,000000;1724,13;57;0,000000;0,00;0,00;0,00;0;0,000000
